"BF_014444_NOMNOM_452000_0207","BF_014444_MINMIN_612667_0543","BF_SIGEN2000_VID_014444_NOMNOM_452000_0262","BF_014444_MINMIN_582533_0653","BF_SIGEN1500_VID_014444_NOMNOM_341500_0363","SCANATPG_SCOREBOARD_0120_NOM_1000","SBFT_SIGON_2000_NOM","BF_SIGEN1500_014444_NOMNOM_341500_0357","BF_014444_MINMIN_763333_0103","BF_014444_NOMNOM_452000_0237","BF_014444_NOMNOM_452000_0217","BF_014444_NOMNOM_452000_0247","BF_014444_NOMNOM_452000_0227","SCANATPG_0120_NOM_1200","BF_014444_MINMIN_733200_0213","BF_014444_NOMNOM_452000_0257","BF_SIGEN1000_014444_NOMNOM_231000_0457","BF_014444_MINMIN_642800_0433","BF_SIGEN1000_VID_014444_NOMNOM_231000_0461","BF_014444_MINMIN_703067_0323","SCANATPG_0120_NOM_1000",
,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,,,"W5103394    892     0 -10"
,,"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,,"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,,,,,,"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,,"W5091036    139     6 -12"
,,,,,,,,,"G1696422P2463534_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DPU_PMH_CR_BASIC_1",,,,,,,,,,,,"W5091036    138     3  12"
,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,,,"W5091036    138    -1  -9"
,,"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,,"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,,,,"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,,,"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,"G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG",,,"W5096948    553     5  -6"
,,,,,,"G1404515P2449310_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST3_ORP_000",,,,,,,,,,,,,,,"W5116648    591     8   0"
,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,,,"W5116648    473     5  -3"
,,,,,,"G1404865P2235378_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WMT_SBFT_VRANGE_MTRR_MISS_T0",,,,,"G1682592P2396184_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_IRR_ISR_EVEN",,,,,,,,,,"W5103394    703    13  -3"
,,,,,,"G1404865P2235378_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WMT_SBFT_VRANGE_MTRR_MISS_T0",,,,,"G1685551P2329388_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FSPIMUX3",,,,,,,,,,"W5103394    807     6  10"
,,,,,,"G1404865P2235378_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WMT_SBFT_VRANGE_MTRR_MISS_T0",,,,,"G1694012P2244268_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_PIC_PIC_PROT_MODE_TEMPLATE_MT",,,,,,,,,,"W5103394    892     0  12"
