"BF_SIGEN2000_VID_014444_NOMNOM_452000_0234","BF_014444_MINMIN_642800_0427","BF_014444_MINMIN_683000_0319","BF_014444_MINMIN_612667_0531","BF_014444_MAXMAX_612667_0532","BF_014444_NOMNOM_452000_0229","BF_014444_NOMNOM_452000_0205","BF_SIGEN1500_VID_014444_NOMNOM_341500_0335","SCANATPG_0120_NOM_1000","BF_014444_MAXMAX_642800_0425","BF_SIGEN1500_VID_014444_NOMNOM_341500_0345","BF_014444_MINMIN_773400_0103","BF_014444_MAXMAX_763333_0104","BF_014444_MAXMAX_582533_0639","SCANATPG_SCOREBOARD_0120_NOM_1000","BF_014444_NOMNOM_452000_0226","BF_014444_MINMIN_763333_0103","SBFT_FULL_0140_MINMIN_702800_0704","BF_014444_MINMIN_703067_0317","BF_SIGEN2000_VID_014444_NOMNOM_452000_0244","SBFT_FULL_0140_MINMIN_803200_0302","SBFT_FULL_0140_MAXMAX_702800_0704","BF_014444_MINMIN_642800_0424","BF_014444_MAXMAX_703067_0318","BF_014444_MAXMAX_733200_0211","SCANATPG_0120_NOM_1200","BF_SIGEN1000_VID_014444_NOMNOM_231000_0433","BF_014444_MINMIN_733200_0210","BF_SIGEN1000_VID_014444_NOMNOM_231000_0443","BF_SIGEN1000_014444_NOMNOM_231000_0429","BF_014444_MINMIN_582533_0638","BF_SIGEN1000_014444_NOMNOM_231000_0440","BF_014444_MAXMAX_733200_0212","BF_014444_NOMNOM_452000_0213","SBFT_SIGON_2000_NOM","SBFT_SIGON_1500_NOM","BF_014444_MAXMAX_773400_0104","BF_014444_MINMIN_733200_0211","BF_014444_NOMNOM_452000_0212","SBFT_SIGON_1800_NOM","BF_014444_MAXMAX_683000_0320","SBFT_FULL_0140_MINMIN_833333_0101","BF_SIGEN1500_014444_NOMNOM_341500_0340","BF_SIGEN1500_014444_NOMNOM_341500_0329","BF_014444_NOMNOM_452000_0221",
,,,,,,,,,,,"G1710547P2259688_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_SPEEDPATH_PIPEX3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"W5083769    189     4  -2"
,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"W5083769    189     5  -1"
,,,,,,,,,,,"G1704896P2245118_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_SAAT_DRCAM_MIS_ST3_FT_T1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"W5083769    218     7  -2"
,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"W5083769    189     7  -5"
,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"W5083769    189     9  -3"
,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"W5083769    189     0  -3"
,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"W5083769    181     8  -6"
,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"W5083769    181     1  -8"
,,,,,,,,,,,"G1679795P2452670_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_YT7_PREFQ_T0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"W5083769    151     8  -8"
,,,,,,,,,,,"G1682213P2463724_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_FARCALL_MT_133855825",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"W5083769    151     6 -10"
